knowledge_id	classification	printed_ranges	pdf_ranges	deep_link_pdf_page	evidence
E06	DIRECT	185-186	193-194	193	6.8 observability
EVAL12	DIRECT	191-192	199-200	199	6.11 simulation fidelity and domain randomization
TRAIN01	DIRECT	194-198	202-206	202	7.1 pretraining SFT and RL
TRAIN02	DIRECT	195;208-210	203;216-218	203	SFT objective and data masking
TRAIN03	DIRECT	196-197;211	204-205;219	204	SFT versus RL selection
TRAIN04	DIRECT	196	204	204	LoRA parameter-efficient tuning
TRAIN05	DIRECT	210	218	218	7.5 SFT trajectory synthesis
TRAIN06	DIRECT	212-214	220-222	220	7.7 single-turn RL memory and generalization
TRAIN07	DIRECT	215	223	223	7.8 rollout-to-update loop
TRAIN08	DIRECT	216-217	224-225	224	7.9 RL and simulated environments
TRAIN09	DIRECT	217	225	225	7.9.3 task distribution and evaluation isolation
TRAIN10	DIRECT	218-221	226-229	226	7.10 multi-turn credit assignment
EVO01	DIRECT	232	240	240	8.1 runtime trajectory signals
EVO02	DIRECT	235	243	243	8.2.1 experience to knowledge
EVO03	DIRECT	236-237	244-245	244	8.2.2 experience to instructions
EVO04	DIRECT	238-239	246-247	246	8.2.3 experience to programs
EVO05	DIRECT	240	248	248	8.2.4 experience to parameters
EVO06	DIRECT	240	248	248	8.2.5 improving update methods
EVO07	DIRECT	241-244	249-252	249	8.3 continual evolution loop
S08	EDUFLOW_ADDED				generic service deployment is a route bridge not reliably taught by the book
EVO08	DIRECT	244	252	252	8.3.5 sleep learning
MM01	DIRECT	247	255	255	9.1.1 speech interaction timing
MM02	DIRECT	248-250	256-258	256	9.1.2 cascading voice pipeline
MM03	DIRECT	251	259	259	9.1.3 end-to-end omni model
MM04	DIRECT	252	260	260	9.1.4 full-duplex interaction
MM05	DIRECT	252-254	260-262	260	9.1.5 real-time and deep-thinking timing
MM06	DIRECT	254	262	262	9.1.6 natural speech synthesis
CU01	DIRECT	256	264	264	9.2.1 action spaces
CU02	DIRECT	257-258	265-266	265	9.2.2 visual grounding
CU03	DIRECT	259	267	267	9.2.3 multimodal GUI perception
CU04	DIRECT	260	268	268	9.2.4 Computer Use world model
CU05	DIRECT	260	268	268	9.2.5 mobile ecosystem constraints
ROB01	DIRECT	261-262	269-270	269	9.3.1 hardware and algorithm division
MAC01	DIRECT	268-269	276-277	276	10.1 collaboration classification
MAC02	DIRECT	269-270	277-278	277	10.2 multi-Agent suitability
MAC03	DIRECT	271	279	279	10.3 shared-context collaboration
MAC04	DIRECT	271-285	279-293	279	10.4 non-shared-context collaboration
MAC05	DIRECT	272-273	280-281	280	10.4.1 filesystem collaboration
MAC06	DIRECT	274-275;279	282-283;287	282	10.4.2 and manager communication control
MAC07	DIRECT	288	296	296	10.5.1 concurrency conflict
MAC08	DIRECT	289	297	297	10.5.2 error cascade
MAC09	DIRECT	289	297	297	10.5.3 premature termination and runaway loops
MAC10	DIRECT	289	297	297	10.5.4 understanding debt
MAC11	DIRECT	290-294	298-302	298	10.6 Agent society
